name,beers_count,brewery_id,latitude,longitude
Blacksburg Brewing Company,1.0,136,37.22999954223633,-80.41000366210938
Blackstone Restaurant & Brewery,2.0,137,36.152000427246094,-86.79889678955078
Blicks Brewing,1.0,138,38.833900451660156,-104.8209991455078
Blitz-Weinhard Brewing,1.0,139,45.53250122070313,-122.68599700927734
Bloomington Brewing Company,,140,39.17160034179688,-86.5103988647461
BluCreek Brewing Company,1.0,141,43.05979919433594,-89.30850219726562
Blue Cat Brew Pub,6.0,142,41.51179885864258,-90.57460021972656
Blue Corn Caf and Brewery - Albuquerque,1.0,143,35.08449935913086,-106.6510009765625
Blue Point Brewing,7.0,144,40.75910186767578,-73.02149963378906
Blue Ridge Brewing,1.0,145,34.853099822998054,-82.39830017089844
"Bluegrass Brewing Company, Inc.",1.0,146,38.25299835205078,-85.65399932861328
Bobcat Cafe & Brewery,,147,44.133201599121094,-73.07839965820312
Boddington's Brewery,1.0,148,53.4807014465332,-2.2344000339508057
Boiler Room Brewpub,1.0,149,35.158401489257805,-114.572998046875
Bonaventure Brewing Co,1.0,150,34.05319976806641,-118.25599670410156
Bonfire Brewery,1.0,151,42.43109893798828,-83.4832992553711
Boon Rawd Brewery,1.0,152,13.778300285339355,100.50900268554688
Bootleggers Steakhouse and Brewery,6.0,153,35.37329864501953,-119.0189971923828
Borsodi SÃ¶rgyÃ¡r,1.0,154,,
Boscos Memphis Brewing,1.0,155,35.08679962158203,-89.81009674072266
BOSS Browar Witnica S.A.,2.0,156,52.67390060424805,14.900400161743164
Boston Beer Company,36.0,157,42.31439971923828,-71.10340118408203
Boston Beer Works,6.0,158,42.34700012207031,-71.0988998413086
Bottom's Up Brewing,1.0,159,42.866600036621094,-109.86599731445312
Boulder Beer Company,12.0,160,40.02669906616211,-105.2480010986328
Boulevard Brewing Company,13.0,161,39.08209991455078,-94.59649658203124
Boundary Bay Brewery and Bistro,1.0,162,48.74750137329102,-122.4810028076172
Brasal-Brasserie Allemande,1.0,163,45.42890167236328,-73.63130187988281
Brasserie Artisanale de Rulles,2.0,164,49.71849822998047,5.55709981918335
Brasserie Bnifontaine,3.0,165,50.48519897460938,2.8306000232696533
Brasserie Clarysse,1.0,166,50.84310150146485,3.607700109481812
Brasserie D'Achouffe,5.0,167,50.15069961547852,5.744200229644775
Brasserie d'Ecaussinnes,3.0,168,50.55929946899414,4.136499881744385
Brasserie d'Orval,2.0,169,,
Brasserie de Blaugies,3.0,170,50.369300842285156,3.82699990272522
Brasserie de Brunehaut,9.0,171,50.51089859008789,3.3882999420166016
Brasserie de Cazeau,1.0,172,,
